1.0329323;-0.1010877;0;0;0;-0.0469085;-0.0469085;-0.0469085;-0.0469085
-0.1010877;0.3960228;0;0;0;0.11319;0.11319;0.11319;0.11319
0;0;0.3268651;0;0;0.1721029;0.1721029;-0.1721029;-0.1721029
0;0;0;0.3268651;0;-0.1721029;0.1721029;0.1721029;-0.1721029
0;0;0;0;0.3268651;-0.1721029;0.1721029;-0.1721029;0.1721029
-0.0469085;0.11319;0.1721029;-0.1721029;-0.1721029;0.3045239;-0.0579428;-0.0579428;-0.0579428
-0.0469085;0.11319;0.1721029;0.1721029;0.1721029;-0.0579428;0.3045239;-0.0579428;-0.0579428
-0.0469085;0.11319;-0.1721029;0.1721029;-0.1721029;-0.0579428;-0.0579428;0.3045239;-0.0579428
-0.0469085;0.11319;-0.1721029;-0.1721029;0.1721029;-0.0579428;-0.0579428;-0.0579428;0.3045239
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
